ID_1,NAME_1,UA_NAME
1,Cherkasy,Черкаська
2,Chernihiv,Чернігівська
3,Chernivtsi,Чернівецька
4,Crimea,АР Крим
5,Dnipropetrovs'k,Дніпропетровська
6,Donets'k,Донецька
7,Ivano-Frankivs'k,Івано-Франківська
8,Kharkiv,Харківська
9,Kherson,Херсонська
10,Khmel'nyts'kyy,Хмельницька
11,Kiev City,місто Київ
12,Kiev,Київська
13,Kirovohrad,Кіровоградська
14,L'viv,Львівська
15,Luhans'k,Луганська
16,Mykolayiv,Миколаївська
17,Odessa,Одеська
18,Poltava,Полтавська
19,Rivne,Рівненська
20,Sevastopol',місто Севастополь
21,Sumy,Сумська
22,Ternopil',Тернопільська
23,Transcarpathia,Закарпатська
24,Vinnytsya,Вінницька
25,Volyn,Волинська
26,Zaporizhzhya,Запорізька
27,Zhytomyr,Житомирська
